source,up_weight,down_weight,down_floor,down_margin,screen_hits,screen_calls,screen_down_calls
prior,0.5,0.0,0.6,0.08,332,519,0
prior,0.5,0.25,0.5,0.0,332,519,0
prior,0.5,0.25,0.55,0.05,332,519,0
prior,0.5,0.25,0.6,0.08,332,519,0
prior,0.5,0.5,0.5,0.0,332,519,0
prior,0.5,0.5,0.55,0.05,332,519,0
prior,0.5,0.5,0.6,0.08,332,519,0
prior,0.5,0.75,0.5,0.0,332,519,0
prior,0.5,0.75,0.55,0.05,332,519,0
prior,0.5,0.75,0.6,0.08,332,519,0
prior,0.5,1.0,0.5,0.0,332,519,0
prior,0.5,1.0,0.55,0.05,332,519,0
prior,0.5,1.0,0.6,0.08,332,519,0
prior,0.75,0.0,0.5,0.0,333,519,0
prior,0.75,0.0,0.55,0.05,333,519,0
prior,0.75,0.0,0.6,0.08,333,519,0
prior,0.75,0.25,0.5,0.0,333,519,0
prior,0.75,0.25,0.55,0.05,333,519,0
prior,0.75,0.25,0.6,0.08,333,519,0
prior,0.75,0.5,0.5,0.0,333,519,0
prior,0.75,0.5,0.55,0.05,333,519,0
prior,0.75,0.5,0.6,0.08,333,519,0
prior,0.75,0.75,0.5,0.0,333,519,0
prior,0.75,0.75,0.55,0.05,333,519,0
prior,0.75,0.75,0.6,0.08,333,519,0
prior,0.75,1.0,0.5,0.0,333,519,0
prior,0.75,1.0,0.55,0.05,333,519,0
prior,0.75,1.0,0.6,0.08,333,519,0
prior,1.0,0.0,0.5,0.0,336,519,0
prior,1.0,0.0,0.55,0.05,336,519,0
prior,1.0,0.0,0.6,0.08,336,519,0
prior,1.0,0.25,0.5,0.0,336,519,0
prior,1.0,0.25,0.55,0.05,336,519,0
prior,1.0,0.25,0.6,0.08,336,519,0
prior,1.0,0.5,0.5,0.0,336,519,0
prior,1.0,0.5,0.55,0.05,336,519,0
prior,1.0,0.5,0.6,0.08,336,519,0
prior,1.0,0.75,0.5,0.0,336,519,0
prior,1.0,0.75,0.55,0.05,336,519,0
prior,1.0,0.75,0.6,0.08,336,519,0
prior,1.0,1.0,0.5,0.0,336,519,0
prior,1.0,1.0,0.55,0.05,336,519,0
prior,1.0,1.0,0.6,0.08,336,519,0
